geo_level,geo_code,name,parent_code
village,63000040017,大佳里,6300004
village,63000040018,新喜里,6300004
village,63000040019,新庄里,6300004
village,63000040020,新福里,6300004
village,63000040021,松江里,6300004
village,63000040022,新生里,6300004
village,63000040023,中庄里,6300004
village,63000040024,行政里,6300004
village,63000040025,行仁里,6300004
village,63000040026,行孝里,6300004
village,63000040027,下埤里,6300004
village,63000040028,江寧里,6300004
village,63000040029,江山里,6300004
village,63000040030,中吉里,6300004
village,63000040031,中原里,6300004
village,63000040032,興亞里,6300004
village,63000040033,中央里,6300004
village,63000040034,朱馥里,6300004
village,63000040035,龍洲里,6300004
village,63000040036,朱園里,6300004
village,63000040037,埤頭里,6300004
village,63000040038,朱崙里,6300004
village,63000040039,力行里,6300004
village,63000040040,復華里,6300004
village,63000040041,金泰里,6300004
village,63000040042,北安里,6300004
village,63000080001,景行里,6300008
village,63000080002,景東里,6300008
village,63000080003,景美里,6300008
village,63000080004,景慶里,6300008
village,63000080005,景仁里,6300008
village,63000080006,景華里,6300008
village,63000080007,萬有里,6300008
village,63000080008,萬祥里,6300008
village,63000080009,萬隆里,6300008
village,63000080010,萬年里,6300008
village,63000080011,萬和里,6300008
village,63000080012,萬盛里,6300008
village,63000080013,興豐里,6300008
village,63000080014,興光里,6300008
village,63000080015,興家里,6300008
village,63000080016,興得里,6300008
village,63000080017,興業里,6300008
village,63000080018,興安里,6300008
village,63000080019,興福里,6300008
village,63000080020,興旺里,6300008
village,63000080021,興泰里,6300008
village,63000080022,興昌里,6300008
village,63000080023,試院里,6300008
village,63000080024,華興里,6300008
village,63000080025,明義里,6300008
village,63000080026,明興里,6300008
village,63000080027,木柵里,6300008
village,63000080028,木新里,6300008
village,63000080029,順興里,6300008
village,63000080030,樟林里,6300008
village,63000080031,樟新里,6300008
village,63000080032,樟腳里,6300008
village,63000080033,萬芳里,6300008
village,63000080034,博嘉里,6300008
village,63000080035,萬興里,6300008
village,63000080036,指南里,6300008
village,63000080037,老泉里,6300008
village,63000080038,忠順里,6300008
village,63000080039,萬美里,6300008
village,63000080040,政大里,6300008
village,63000080041,樟文里,6300008
village,63000080042,興邦里,6300008
village,63000080043,樟樹里,6300008
village,63000090001,南港里,6300009
village,63000090002,中南里,6300009
village,63000090003,新富里,6300009
village,63000090004,三重里,6300009
village,63000090005,東新里,6300009
village,63000090006,新光里,6300009
village,63000090007,東明里,6300009
village,63000090008,西新里,6300009
village,63000090009,玉成里,6300009
village,63000090010,合成里,6300009
village,63000090011,成福里,6300009
village,63000090012,萬福里,6300009
village,63000090013,鴻福里,6300009
village,63000090014,百福里,6300009
village,63000090015,聯成里,6300009
village,63000090016,舊莊里,6300009
village,63000090017,中研里,6300009
village,63000090018,九如里,6300009
village,63000090019,仁福里,6300009
village,63000090020,重陽里,6300009
village,63000100001,西湖里,6300010
village,63000100002,西康里,6300010
village,63000100003,西安里,6300010
village,63000100005,港墘里,6300010
village,63000100006,港都里,6300010
village,63000100007,港富里,6300010
village,63000100008,港華里,6300010
village,63000100009,內湖里,6300010
village,63000100010,湖濱里,6300010
village,63000100011,紫星里,6300010
village,63000100012,大湖里,6300010
village,63000100013,金龍里,6300010
village,63000100014,金瑞里,6300010
village,63000100015,碧山里,6300010
village,63000100016,紫雲里,6300010
village,63000100017,清白里,6300010
village,63000100018,葫洲里,6300010
village,63000100019,紫陽里,6300010
village,63000100020,瑞陽里,6300010
village,63000100021,瑞光里,6300010
village,63000100022,五分里,6300010
village,63000100023,東湖里,6300010
